x,libm_expm1f,q24_8,q8_24,q24_minus_libm,q8_minus_libm,q24_abs_err,q8_abs_err,q24_rel_err,q8_rel_err,q24_minus_q8
6.5000001341e-03,6.5211709589e-03,7.8125000000e-03,6.5211057663e-03,1.2913290411e-03,-6.5192580223e-08,1.2913290411e-03,6.5192580223e-08,1.9802103937e-01,9.9970666270e-06,1.2913942337e-03
6.5999999642e-03,6.6218278371e-03,7.8125000000e-03,6.6217780113e-03,1.1906721629e-03,-4.9825757742e-08,1.1906721629e-03,4.9825757742e-08,1.7981019616e-01,7.5244720392e-06,1.1907219887e-03
6.6999997944e-03,6.7224949598e-03,7.8125000000e-03,6.7223906517e-03,1.0900050402e-03,-1.0430812836e-07,1.0900050402e-03,1.0430812836e-07,1.6214293242e-01,1.5516281564e-05,1.0901093483e-03
6.8000000902e-03,6.8231727928e-03,7.8125000000e-03,6.8230628967e-03,9.8932720721e-04,-1.0989606380e-07,9.8932720721e-04,1.0989606380e-07,1.4499518275e-01,1.6106299881e-05,9.8943710327e-04
6.8999999203e-03,6.9238599390e-03,7.8125000000e-03,6.9237947464e-03,8.8864006102e-04,-6.5192580223e-08,8.8864006102e-04,6.5192580223e-08,1.2834461033e-01,9.4156412160e-06,8.8870525360e-04
7.0000002161e-03,7.0245573297e-03,7.8125000000e-03,7.0245265961e-03,7.8794267029e-04,-3.0733644962e-08,7.8794267029e-04,3.0733644962e-08,1.1216972768e-01,4.3751715566e-06,7.8797340393e-04
7.1000000462e-03,7.1252649650e-03,7.8125000000e-03,7.1251392365e-03,6.8723503500e-04,-1.2572854757e-07,6.8723503500e-04,1.2572854757e-07,9.6450455487e-02,1.7645455955e-05,6.8736076355e-04
7.1999998763e-03,7.2259823792e-03,7.8125000000e-03,7.2259306908e-03,5.8651762083e-04,-5.1688402891e-08,5.8651762083e-04,5.1688402891e-08,8.1167876720e-02,7.1531317190e-06,5.8656930923e-04
7.3000001721e-03,7.3267100379e-03,7.8125000000e-03,7.3267221451e-03,4.8578996211e-04,1.2107193470e-08,4.8578996211e-04,1.2107193470e-08,6.6303968430e-02,1.6524734292e-06,4.8577785492e-04
7.4000000022e-03,7.4274474755e-03,7.8125000000e-03,7.4273943901e-03,3.8505252451e-04,-5.3085386753e-08,3.8505252451e-04,5.3085386753e-08,5.1841836423e-02,7.1471913543e-06,3.8510560989e-04
7.4999998324e-03,7.5281951576e-03,7.8125000000e-03,7.5281262398e-03,2.8430484235e-04,-6.8917870522e-08,2.8430484235e-04,6.8917870522e-08,3.7765339017e-02,9.1546335170e-06,2.8437376022e-04
7.6000001281e-03,7.6289535500e-03,7.8125000000e-03,7.6289176941e-03,1.8354644999e-04,-3.5855919123e-08,1.8354644999e-04,3.5855919123e-08,2.4059191346e-02,4.6999784900e-06,1.8358230591e-04
7.6999999583e-03,7.7297212556e-03,7.8125000000e-03,7.7297091484e-03,8.2778744400e-05,-1.2107193470e-08,8.2778744400e-05,1.2107193470e-08,1.0709149763e-02,1.5663169961e-06,8.2790851593e-05
7.7999997884e-03,7.8304987401e-03,7.8125000000e-03,7.8304409981e-03,-1.7998740077e-05,-5.7741999626e-08,1.7998740077e-05,5.7741999626e-08,2.2985432297e-03,7.3739875006e-06,-1.7940998077e-05
7.8999996185e-03,7.9312874004e-03,7.8125000000e-03,7.9312324524e-03,-1.1878740042e-04,-5.4948031902e-08,1.1878740042e-04,5.4948031902e-08,1.4977063984e-02,6.9280090429e-06,-1.1873245239e-04
8.0000003800e-03,8.0320863053e-03,7.8125000000e-03,8.0320239067e-03,-2.1958630532e-04,-6.2398612499e-08,2.1958630532e-04,6.2398612499e-08,2.7338638902e-02,7.7686681834e-06,-2.1952390671e-04
8.1000002101e-03,8.1328935921e-03,7.8125000000e-03,8.1328153610e-03,-3.2039359212e-04,-7.8231096268e-08,3.2039359212e-04,7.8231096268e-08,3.9394784719e-02,9.6190979093e-06,-3.2031536102e-04
8.2000000402e-03,8.2337120548e-03,7.8125000000e-03,8.2336664200e-03,-4.2121205479e-04,-4.5634806156e-08,4.2121205479e-04,4.5634806156e-08,5.1157005131e-02,5.5424338825e-06,-4.2116641998e-04
8.2999998704e-03,8.3345407620e-03,7.8125000000e-03,8.3344578743e-03,-5.2204076201e-04,-8.2887709141e-08,5.2204076201e-04,8.2887709141e-08,6.2635816634e-02,9.9450844573e-06,-5.2195787430e-04
8.3999997005e-03,8.4353787825e-03,7.8125000000e-03,8.4353089333e-03,-6.2287878245e-04,-6.9849193096e-08,6.2287878245e-04,6.9849193096e-08,7.3841236532e-02,8.2805045167e-06,-6.2280893326e-04
8.5000004619e-03,8.5362279788e-03,7.8125000000e-03,8.5361599922e-03,-7.2372797877e-04,-6.7986547947e-08,7.2372797877e-04,6.7986547947e-08,8.4783114493e-02,7.9644714788e-06,-7.2365999222e-04
8.6000002921e-03,8.6370864883e-03,7.8125000000e-03,8.6370110512e-03,-8.2458648831e-04,-7.5437128544e-08,8.2458648831e-04,7.5437128544e-08,9.5470443368e-02,8.7340940809e-06,-8.2451105118e-04
